epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,913.285,1.20807,0.98054,0.97647,0.97399,0.96844,0.98162,0.66623,1.07908,0.63408,0.96046,0.00333264,0.00333264,0.00333264
2,1814.58,1.07222,0.66621,0.94231,0.97523,0.97195,0.98572,0.69888,1.01447,0.58384,0.94904,0.00659998,0.00659998,0.00659998
3,2726.23,1.05359,0.63797,0.9425,0.97728,0.97339,0.98632,0.70281,1.03173,0.57009,0.96484,0.00980132,0.00980132,0.00980132
4,3621.93,1.02071,0.61364,0.93737,0.98083,0.97604,0.98817,0.7134,1.00297,0.53455,0.95116,0.009703,0.009703,0.009703
5,4524.91,0.97646,0.58783,0.92781,0.98131,0.97622,0.98881,0.72207,0.98281,0.51745,0.94622,0.009604,0.009604,0.009604
6,5429.48,0.95115,0.57294,0.92026,0.98292,0.97816,0.98933,0.72631,0.98014,0.49997,0.9483,0.009505,0.009505,0.009505
7,6319.93,0.93278,0.56174,0.91787,0.98297,0.97809,0.98954,0.72362,0.98504,0.50245,0.94888,0.009406,0.009406,0.009406
8,7214.03,0.92206,0.55523,0.91347,0.98334,0.97807,0.98968,0.7278,0.97742,0.49473,0.94464,0.009307,0.009307,0.009307
9,8104.56,0.91607,0.54833,0.91345,0.98396,0.97873,0.98964,0.73239,0.96384,0.49072,0.9415,0.009208,0.009208,0.009208
10,8990.29,0.90658,0.54414,0.91001,0.98399,0.97885,0.98976,0.73243,0.96325,0.48701,0.94093,0.009109,0.009109,0.009109
11,9893.02,0.90332,0.54118,0.90936,0.98374,0.97867,0.98971,0.7316,0.96845,0.48488,0.94242,0.00901,0.00901,0.00901
12,10788.8,0.89496,0.53857,0.9074,0.98373,0.97875,0.98987,0.73013,0.97557,0.48158,0.94468,0.008911,0.008911,0.008911
13,11677.2,0.89175,0.5373,0.90633,0.98393,0.97878,0.98984,0.73098,0.97398,0.47904,0.94471,0.008812,0.008812,0.008812
14,12562.2,0.88556,0.53461,0.90442,0.98386,0.97874,0.98978,0.7323,0.96996,0.47901,0.9436,0.008713,0.008713,0.008713
15,13445.8,0.88395,0.53271,0.90415,0.98406,0.9789,0.98984,0.73314,0.96865,0.47771,0.94335,0.008614,0.008614,0.008614
16,14329.6,0.88308,0.52874,0.90348,0.98405,0.97882,0.98972,0.734,0.96661,0.47686,0.94278,0.008515,0.008515,0.008515
17,15213.5,0.87799,0.5269,0.90269,0.98414,0.97896,0.98975,0.73471,0.9654,0.47646,0.94235,0.008416,0.008416,0.008416
18,16096.5,0.87201,0.52345,0.90254,0.98442,0.97913,0.9899,0.73548,0.96275,0.47632,0.94153,0.008317,0.008317,0.008317
19,16980.7,0.87246,0.52465,0.90122,0.98458,0.97932,0.98994,0.7366,0.95996,0.47553,0.94057,0.008218,0.008218,0.008218
20,17864,0.86799,0.52259,0.90062,0.98469,0.97956,0.99006,0.73825,0.95523,0.47425,0.93918,0.008119,0.008119,0.008119
21,18748.5,0.86776,0.52549,0.90019,0.98485,0.97963,0.99012,0.73897,0.95342,0.47411,0.9385,0.00802,0.00802,0.00802
22,19632.8,0.86151,0.51843,0.8989,0.9848,0.97959,0.99017,0.73899,0.95354,0.47347,0.93864,0.007921,0.007921,0.007921
23,20515.4,0.86319,0.51985,0.89891,0.9848,0.97969,0.99019,0.73913,0.95361,0.47286,0.93856,0.007822,0.007822,0.007822
24,21398.9,0.861,0.51884,0.89912,0.98483,0.97967,0.99019,0.73913,0.95345,0.47274,0.93863,0.007723,0.007723,0.007723
25,22282.1,0.85773,0.51625,0.89752,0.98494,0.97972,0.99023,0.73974,0.95101,0.47242,0.93795,0.007624,0.007624,0.007624
26,23166.7,0.85671,0.51679,0.89802,0.98497,0.97974,0.99025,0.73987,0.95075,0.47167,0.93787,0.007525,0.007525,0.007525
27,24061.2,0.85546,0.51348,0.89665,0.98516,0.97989,0.99027,0.74018,0.94999,0.46963,0.93773,0.007426,0.007426,0.007426
28,25180.2,0.85462,0.51392,0.89831,0.98511,0.97987,0.99018,0.74055,0.9502,0.46836,0.93793,0.007327,0.007327,0.007327
29,26302.5,0.85483,0.51409,0.89723,0.98525,0.97998,0.99022,0.74055,0.94974,0.46741,0.93774,0.007228,0.007228,0.007228
30,27387.2,0.85258,0.51285,0.89816,0.98536,0.98002,0.99026,0.74068,0.95,0.46618,0.93802,0.007129,0.007129,0.007129
31,28282.5,0.85043,0.51357,0.89784,0.98526,0.97995,0.99022,0.74045,0.9495,0.46666,0.93799,0.00703,0.00703,0.00703
32,29167,0.84675,0.50952,0.89642,0.98526,0.97995,0.9902,0.74036,0.95042,0.46536,0.9386,0.006931,0.006931,0.006931
33,30051.5,0.84451,0.51037,0.89495,0.98531,0.98011,0.99021,0.74028,0.9506,0.46438,0.93893,0.006832,0.006832,0.006832
34,30936.3,0.84569,0.51045,0.89509,0.98543,0.98016,0.99022,0.74036,0.95002,0.46415,0.93879,0.006733,0.006733,0.006733
35,31820,0.84201,0.50743,0.89437,0.98538,0.9801,0.99016,0.74072,0.94812,0.46392,0.93841,0.006634,0.006634,0.006634
36,32852.1,0.84186,0.50725,0.8954,0.98544,0.98012,0.99018,0.74032,0.95013,0.4625,0.93938,0.006535,0.006535,0.006535
37,33975.8,0.83992,0.50584,0.89416,0.98539,0.98001,0.99019,0.74021,0.95091,0.46241,0.93978,0.006436,0.006436,0.006436
